verb,child0,child1,child2,child3,child4,child5
X,Users,Change Passwords,Before /number/ days,,,
X,Users,Change Passwords,Before /number/ days if,Compromised,,
X,Users,Change Passwords,Before /number/ days if,Directed By Management,,
X,Users,Change Passwords,Before /number/ days if,Found Non-Compliant,,
X,Users,Change Passwords,Before /number/ days if,Sent Unencrypted,,
X,Users,Change Passwords,Before /number/ days if,Shared,,
X,Users,Change Passwords,Immediately if,Compromised,,
X,Users,Change Passwords,Immediately if,Directed By Management,,
X,Users,Change Passwords,Immediately if,Found Non-Compliant,,
X,Users,Change Passwords,Immediately if,Sent Unencrypted,,
X,Users,Change Passwords,Immediately if,Shared,,
X,Users,Communicate Passwords,Except in an emergency,,,
X,Users,Communicate Passwords,To,A third Party,,
X,Users,Communicate Passwords,To,Anyone,,
X,Users,Communicate Passwords,by,Any means,,
X,Users,Communicate Passwords,by,Any Network without encryption,,
X,Users,Communicate Passwords,by,Any network,,
X,Users,Communicate Passwords,by,Email without encryption,,
X,Users,Communicate Passwords,by,Email,,
X,Users,Communicate Passwords,by,Mail without encryption,,
X,Users,Communicate Passwords,by,Mail accompanied by the user ID,,
X,Users,Communicate Passwords,by,Mail,,
X,Users,Communicate Passwords,by,Phone Mail,,
X,Users,Communicate Passwords,by,Phone,,
X,Users,Communicate Passwords,by,Internet or wide-area network,,
X,Users,Communicate Passwords,by,Internet or wide-area network without encryption,,
X,Users,Communicate Passwords,by,Local area network,,
X,Users,Communicate Passwords,by,Local area network without encryption,,
